End of video
         744240 function calls (741544 primitive calls) in 53.911 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      741    0.002    0.000    0.002    0.000 {built-in method builtins.min}
      612    0.002    0.000    0.002    0.000 _inspect.py:67(getargs)
       18    0.002    0.000    0.002    0.000 {built-in method nt.listdir}
       18    0.002    0.000    0.408    0.023 __init__.py:1(<module>)
     2806    0.002    0.000    0.002    0.000 {method 'popleft' of 'collections.deque' objects}
        2    0.002    0.001    0.005    0.003 <frozen importlib._bootstrap_external>:120(_write_atomic)
      320    0.001    0.000    0.001    0.000 {built-in method builtins.max}
     1430    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:62(_path_join)
    465/1    0.001    0.000   53.907   53.907 {built-in method builtins.exec}
      180    0.001    0.000    0.049    0.000 <frozen importlib._bootstrap>:890(_find_spec)
     1430    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:64(<listcomp>)
      482    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:78(acquire)
      482    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
      328    0.001    0.000    0.002    0.000 functools.py:33(update_wrapper)
     7081    0.001    0.000    0.001    0.000 {built-in method builtins.isinstance}
       86    0.001    0.000    0.002    0.000 sre_compile.py:276(_optimize_charset)
      282    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:294(cache_from_source)
   205/33    0.001    0.000    0.004    0.000 sre_compile.py:71(_compile)
      286    0.001    0.000    0.005    0.000 overrides.py:72(verify_matching_signatures)
       24    0.001    0.000    0.004    0.000 Robot.py:117(followPath)
      482    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:103(release)
      374    0.001    0.000    0.001    0.000 {built-in method _thread.allocate_lock}
     2001    0.001    0.000    0.001    0.000 sre_parse.py:233(__next)
      220    0.001    0.000    0.001    0.000 meat.py:161(distance)
      749    0.001    0.000    0.001    0.000 {method 'format' of 'str' objects}
       60    0.001    0.000    0.001    0.000 {method 'reduce' of 'numpy.ufunc' objects}
    176/1    0.001    0.000   53.912   53.912 <frozen importlib._bootstrap>:650(_load_unlocked)
      176    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap>:477(_init_module_attrs)
      316    0.001    0.000    0.027    0.000 overrides.py:166(decorator)
        2    0.001    0.000    0.001    0.000 {built-in method _ctypes.LoadLibrary}
      108    0.001    0.000    0.001    0.000 meat.py:132(find_line_from_points)
      166    0.001    0.000    0.046    0.000 <frozen importlib._bootstrap_external>:1302(_get_spec)
      284    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:68(_path_split)
     2808    0.001    0.000    0.001    0.000 {method '__exit__' of '_thread.lock' objects}
      616    0.001    0.000    0.004    0.000 _inspect.py:98(getargspec)
      716    0.001    0.000    0.001    0.000 {built-in method __new__ of type object at 0x64E9A7D0}
     1701    0.001    0.000    0.002    0.000 sre_parse.py:254(get)
        2    0.001    0.000    0.001    0.000 {built-in method nt.open}
       54    0.001    0.000    0.002    0.000 linalg.py:2316(norm)
    183/1    0.001    0.000   53.912   53.912 <frozen importlib._bootstrap>:956(_find_and_load_unlocked)
     1578    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
     1345    0.001    0.000    0.001    0.000 sre_parse.py:164(__getitem__)
     1846    0.001    0.000    0.001    0.000 {method 'join' of 'str' objects}
      141    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:493(_classify_pyc)
     1687    0.001    0.000    0.001    0.000 {built-in method builtins.hasattr}
       14    0.001    0.000    0.001    0.000 {built-in method _imp.create_builtin}
      540    0.001    0.000    0.001    0.000 <__array_function__ internals>:2(where)
   203/28    0.001    0.000    0.196    0.007 <frozen importlib._bootstrap>:1017(_handle_fromlist)
     3147    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
    141/1    0.001    0.000   53.911   53.911 <frozen importlib._bootstrap_external>:777(exec_module)
      677    0.001    0.000    0.041    0.000 <frozen importlib._bootstrap_external>:80(_path_stat)
   241/81    0.001    0.000    0.001    0.000 sre_parse.py:174(getwidth)
      273    0.001    0.000    0.003    0.000 function_base.py:460(add_newdoc)
      162    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:629(spec_from_file_location)
   324/12    0.001    0.000    0.197    0.016 {built-in method builtins.__import__}
        1    0.001    0.001    0.001    0.001 parse.py:328(ParseResult)
        1    0.001    0.001   53.907   53.907 main.py:1(<module>)
      421    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:51(_unpack_uint32)
     3595    0.001    0.000    0.001    0.000 {method 'append' of 'list' objects}
      298    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:194(_lock_unlock_module)
      139    0.000    0.000    0.016    0.000 <frozen importlib._bootstrap_external>:578(_compile_bytecode)
     1757    0.000    0.000    0.000    0.000 {built-in method builtins.setattr}
     1157    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
        8    0.000    0.000    0.001    0.000 __init__.py:313(namedtuple)
       60    0.000    0.000    0.002    0.000 fromnumeric.py:73(_wrapreduction)
  176/173    0.000    0.000    0.045    0.000 <frozen importlib._bootstrap>:549(module_from_spec)
      162    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1426(_get_spec)
      143    0.000    0.000    0.014    0.000 re.py:287(_compile)
      184    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:58(__init__)
      162    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:424(_get_cached)
       18    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1479(_fill_cache)
      218    0.000    0.000    0.013    0.000 <frozen importlib._bootstrap_external>:90(_path_is_mode_type)
    97/33    0.000    0.000    0.008    0.000 sre_parse.py:435(_parse_sub)
      397    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:389(parent)
      184    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:176(cb)
       81    0.000    0.000    0.000    0.000 {method 'astype' of 'numpy.ndarray' objects}
      303    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:376(cached)
      141    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:526(_validate_timestamp_pyc)
       52    0.000    0.000    0.001    0.000 core.py:900(__init__)
        1    0.000    0.000    0.013    0.013 numeric.py:1(<module>)
        1    0.000    0.000    0.003    0.003 core.py:1(<module>)
        2    0.000    0.000    0.000    0.000 {method 'write' of '_io.FileIO' objects}
      616    0.000    0.000    0.000    0.000 _inspect.py:15(ismethod)
      572    0.000    0.000    0.000    0.000 <string>:1(__new__)
      512    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:867(__exit__)
     1178    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
      349    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1265(_path_importer_cache)
       36    0.000    0.000    0.001    0.000 meat.py:146(get_center_as_point)
      356    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
      184    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:147(__enter__)
    264/2    0.000    0.000   53.909   26.954 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
     1178    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
      273    0.000    0.000    0.000    0.000 function_base.py:428(_needs_add_docstring)
      981    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
       27    0.000    0.000    0.000    0.000 {method 'round' of 'numpy.ndarray' objects}
      166    0.000    0.000    0.046    0.000 <frozen importlib._bootstrap_external>:1334(find_spec)
      612    0.000    0.000    0.000    0.000 _inspect.py:43(iscode)
       60    0.000    0.000    0.002    0.000 fromnumeric.py:2092(sum)
