End of video
         695961 function calls (693283 primitive calls) in 79.707 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     2807   32.564    0.012   32.564    0.012 {method 'read' of 'cv2.VideoCapture' objects}
     5612    8.580    0.002    8.580    0.002 {erode}
     5612    8.006    0.001    8.006    0.001 {dilate}
     5612    4.440    0.001    4.440    0.001 {copyMakeBorder}
     2806    4.005    0.001    4.005    0.001 {Canny}
     2806    3.868    0.001    3.868    0.001 {inRange}
        1    3.658    3.658   79.465   79.465 main.py:22(main)
     2806    3.224    0.001    3.224    0.001 {cvtColor}
     2806    2.946    0.001    2.946    0.001 {resize}
     2806    2.324    0.001    2.324    0.001 {findContours}
     2806    1.226    0.000   27.470    0.010 bbox.py:30(gen_mask)
     2806    1.150    0.000   35.975    0.013 bbox.py:20(get_bbox)
     2806    0.900    0.000    0.900    0.000 {bitwise_not}
    38071    0.582    0.000    0.657    0.000 meat.py:36(step)
    34675    0.571    0.000    0.571    0.000 {convexHull}
     2806    0.206    0.000    7.355    0.003 bbox.py:69(thresh_callback)
    33631    0.113    0.000    0.113    0.000 {pointPolygonTest}
    34598    0.098    0.000    0.098    0.000 {built-in method builtins.round}
    38260    0.075    0.000    0.075    0.000 {built-in method numpy.array}
     2806    0.065    0.000    0.694    0.000 bbox.py:82(<listcomp>)
9156/9102    0.064    0.000    0.067    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
    25701    0.059    0.000    0.059    0.000 {contourArea}
     4540    0.051    0.000    0.051    0.000 {moments}
    65682    0.049    0.000    0.049    0.000 Point.py:7(__init__)
    21525    0.047    0.000    0.047    0.000 Point.py:38(mag)
     2487    0.044    0.000    0.156    0.000 SecondaryArm.py:52(follow)
    24932    0.040    0.000    0.056    0.000 Point.py:24(__sub__)
      666    0.040    0.000    0.040    0.000 {built-in method nt.stat}
        1    0.035    0.035    0.035    0.035 {namedWindow}
     9986    0.034    0.000    0.044    0.000 Point.py:42(vector_angle)
     8419    0.034    0.000    0.034    0.000 {built-in method numpy.empty}
       20    0.031    0.002    0.033    0.002 {built-in method _imp.create_dynamic}
     2487    0.030    0.000    0.496    0.000 Robot.py:102(moveTo)
      317    0.028    0.000    0.028    0.000 {built-in method builtins.compile}
     2807    0.027    0.000    2.985    0.001 image_sizing.py:34(scale)
     2487    0.026    0.000    0.089    0.000 MainArm.py:43(follow)
     8419    0.024    0.000    0.141    0.000 numeric.py:159(ones)
     4974    0.021    0.000    0.021    0.000 Point.py:98(update)
     2487    0.018    0.000    0.021    0.000 MainTrack.py:35(follow)
    12329    0.017    0.000    0.025    0.000 Point.py:26(__mul__)
     2487    0.017    0.000    0.539    0.000 Robot.py:139(update)
     8419    0.017    0.000    0.083    0.000 <__array_function__ internals>:2(copyto)
      138    0.015    0.000    0.015    0.000 {built-in method marshal.loads}
     2488    0.015    0.000    0.066    0.000 MainArm.py:30(getOtherPt)
        1    0.013    0.013    0.013    0.013 {destroyAllWindows}
39374/39156    0.012    0.000    0.012    0.000 {built-in method builtins.len}
     4974    0.012    0.000    0.033    0.000 Point.py:40(norm)
        1    0.011    0.011    0.011    0.011 {method 'release' of 'cv2.VideoCapture' objects}
     2488    0.011    0.000    0.027    0.000 SecondaryArm.py:35(getotherPt1)
      140    0.011    0.000    0.011    0.000 {built-in method io.open_code}
     4974    0.011    0.000    0.011    0.000 Carriage.py:25(refresh)
     4975    0.011    0.000    0.047    0.000 SecondaryArm.py:30(refresh)
      140    0.010    0.000    0.010    0.000 {method 'read' of '_io.BufferedReader' objects}
     2488    0.010    0.000    0.024    0.000 SecondaryArm.py:37(getotherPt2)
     4974    0.010    0.000    0.010    0.000 Carriage.py:48(follow)
     2807    0.008    0.000    0.008    0.000 {method 'isOpened' of 'cv2.VideoCapture' objects}
     2487    0.008    0.000    0.077    0.000 SecondaryArm.py:77(moveBase)
     4975    0.007    0.000    0.034    0.000 MainArm.py:27(refresh)
     9983    0.007    0.000    0.007    0.000 {built-in method math.atan}
     4974    0.006    0.000    0.017    0.000 Carriage.py:55(moveBase)
    16838    0.006    0.000    0.006    0.000 {built-in method time.time}
  292/288    0.005    0.000    0.010    0.000 {built-in method builtins.__build_class__}
      135    0.004    0.000    0.011    0.000 meat.py:52(gen_significant_lines)
     2766    0.004    0.000    0.004    0.000 bbox.py:97(<listcomp>)
     2487    0.004    0.000    0.010    0.000 MainTrack.py:50(moveBase)
     2487    0.004    0.000    0.087    0.000 MainArm.py:68(moveBase)
      140    0.004    0.000    0.025    0.000 <frozen importlib._bootstrap_external>:969(get_data)
     2535    0.004    0.000    0.005    0.000 Point.py:22(__add__)
     7466    0.004    0.000    0.004    0.000 {built-in method math.cos}
     2488    0.004    0.000    0.005    0.000 MainTrack.py:22(getOtherPt)
     8419    0.003    0.000    0.003    0.000 multiarray.py:1043(copyto)
      292    0.003    0.000    0.041    0.000 <frozen importlib._bootstrap_external>:1431(find_spec)
     7466    0.003    0.000    0.003    0.000 {built-in method math.sin}
    14932    0.003    0.000    0.003    0.000 {built-in method math.radians}
      139    0.003    0.000    0.061    0.000 <frozen importlib._bootstrap_external>:849(get_code)
    20/15    0.003    0.000    0.015    0.001 {built-in method _imp.exec_dynamic}
    181/1    0.003    0.000   79.708   79.708 <frozen importlib._bootstrap>:986(_find_and_load)
   116/40    0.003    0.000    0.007    0.000 sre_parse.py:493(_parse)
     9983    0.002    0.000    0.002    0.000 {built-in method math.degrees}
     4151    0.002    0.000    0.002    0.000 {built-in method builtins.getattr}
      612    0.002    0.000    0.002    0.000 _inspect.py:67(getargs)
       18    0.002    0.000    0.002    0.000 {built-in method nt.listdir}
      214    0.002    0.000    0.002    0.000 Point.py:81(moveTo)
      328    0.002    0.000    0.003    0.000 functools.py:33(update_wrapper)
       27    0.002    0.000    0.013    0.000 meat.py:12(__init__)
     7069    0.001    0.000    0.001    0.000 {built-in method builtins.isinstance}
       18    0.001    0.000    0.427    0.024 __init__.py:1(<module>)
     1403    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:62(_path_join)
    463/1    0.001    0.000   79.703   79.703 {built-in method builtins.exec}
