End of video
         468279 function calls (465584 primitive calls) in 48.511 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     5612    6.655    0.001    6.655    0.001 {erode}
     5612    6.337    0.001    6.337    0.001 {dilate}
     5612    5.295    0.001    5.295    0.001 {copyMakeBorder}
     2806    4.621    0.002    4.621    0.002 {inRange}
     2806    4.535    0.002    4.535    0.002 {Canny}
        1    3.651    3.651   47.132   47.132 main.py:27(main)
     2806    3.619    0.001    3.619    0.001 {cvtColor}
     2806    3.194    0.001    3.194    0.001 {resize}
     2806    2.530    0.001    2.530    0.001 {findContours}
     2806    1.601    0.001   25.977    0.009 bbox.py:30(gen_mask)
     2806    1.361    0.000   35.404    0.013 bbox.py:20(get_bbox)
     2806    1.350    0.000    1.350    0.000 {bitwise_not}
        1    1.000    1.000    1.000    1.000 {built-in method time.sleep}
    38083    0.769    0.000    0.869    0.000 meat.py:36(step)
    34024    0.553    0.000    0.553    0.000 {convexHull}
     2806    0.206    0.000    8.066    0.003 bbox.py:69(thresh_callback)
        1    0.118    0.118    0.118    0.118 VideoReader.py:18(__init__)
    29569    0.108    0.000    0.108    0.000 {pointPolygonTest}
    38273    0.101    0.000    0.101    0.000 {built-in method numpy.array}
9095/9041    0.086    0.000    0.087    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
     2864    0.077    0.000    0.077    0.000 {method 'acquire' of '_thread.lock' objects}
     2806    0.065    0.000    0.676    0.000 bbox.py:82(<listcomp>)
     4247    0.061    0.000    0.061    0.000 {moments}
    25538    0.058    0.000    0.058    0.000 {contourArea}
     8419    0.052    0.000    0.052    0.000 {built-in method numpy.empty}
      677    0.046    0.000    0.046    0.000 {built-in method nt.stat}
    19664    0.036    0.000    0.036    0.000 {built-in method builtins.round}
       21    0.034    0.002    0.036    0.002 {built-in method _imp.create_dynamic}
     8419    0.033    0.000    0.196    0.000 numeric.py:159(ones)
     8419    0.022    0.000    0.111    0.000 <__array_function__ internals>:2(copyto)
      317    0.022    0.000    0.022    0.000 {built-in method builtins.compile}
     2806    0.021    0.000    0.054    0.000 queue.py:153(get)
     2806    0.019    0.000    3.222    0.001 image_sizing.py:34(scale)
     5613    0.017    0.000    0.023    0.000 queue.py:91(qsize)
      140    0.016    0.000    0.016    0.000 {built-in method marshal.loads}
49042/48824    0.015    0.000    0.015    0.000 {built-in method builtins.len}
     2807    0.014    0.000    0.019    0.000 threading.py:341(notify)
     5802    0.013    0.000    0.013    0.000 Point.py:7(__init__)
      142    0.012    0.000    0.012    0.000 {built-in method io.open_code}
      142    0.011    0.000    0.011    0.000 {method 'read' of '_io.BufferedReader' objects}
     2807    0.006    0.000    0.024    0.000 VideoReader.py:51(more)
      135    0.005    0.000    0.013    0.000 meat.py:52(gen_significant_lines)
     8419    0.005    0.000    0.008    0.000 queue.py:208(_qsize)
  298/294    0.005    0.000    0.014    0.000 {built-in method builtins.__build_class__}
      142    0.005    0.000    0.028    0.000 <frozen importlib._bootstrap_external>:969(get_data)
     2767    0.004    0.000    0.004    0.000 bbox.py:97(<listcomp>)
      141    0.004    0.000    0.069    0.000 <frozen importlib._bootstrap_external>:849(get_code)
     8419    0.004    0.000    0.004    0.000 multiarray.py:1043(copyto)
     2806    0.004    0.000    0.058    0.000 VideoReader.py:48(read)
      298    0.004    0.000    0.047    0.000 <frozen importlib._bootstrap_external>:1431(find_spec)
     2806    0.003    0.000    0.005    0.000 queue.py:216(_get)
     2821    0.003    0.000    0.005    0.000 threading.py:261(_is_owned)
    184/1    0.003    0.000   48.512   48.512 <frozen importlib._bootstrap>:986(_find_and_load)
     2821    0.003    0.000    0.004    0.000 threading.py:246(__enter__)
   116/40    0.003    0.000    0.008    0.000 sre_parse.py:493(_parse)
     2806    0.003    0.000    0.003    0.000 {built-in method time.time}
    21/16    0.003    0.000    0.015    0.001 {built-in method _imp.exec_dynamic}
        1    0.003    0.003    0.003    0.003 parse.py:328(ParseResult)
     4120    0.002    0.000    0.002    0.000 {built-in method builtins.getattr}
     2821    0.002    0.000    0.003    0.000 threading.py:249(__exit__)
       18    0.002    0.000    0.002    0.000 {built-in method nt.listdir}
       27    0.002    0.000    0.015    0.001 meat.py:12(__init__)
      612    0.002    0.000    0.002    0.000 _inspect.py:67(getargs)
    465/1    0.002    0.000   48.504   48.504 {built-in method builtins.exec}
      400    0.002    0.000    0.002    0.000 {built-in method _thread.allocate_lock}
      180    0.002    0.000    0.055    0.000 <frozen importlib._bootstrap>:890(_find_spec)
      741    0.002    0.000    0.002    0.000 {built-in method builtins.min}
     1430    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:62(_path_join)
       18    0.002    0.000    0.457    0.025 __init__.py:1(<module>)
        1    0.001    0.001    0.001    0.001 {built-in method nt.replace}
     1430    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:64(<listcomp>)
     7020    0.001    0.000    0.001    0.000 {built-in method builtins.isinstance}
      482    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:78(acquire)
      328    0.001    0.000    0.002    0.000 functools.py:33(update_wrapper)
      282    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:294(cache_from_source)
      286    0.001    0.000    0.006    0.000 overrides.py:72(verify_matching_signatures)
     2806    0.001    0.000    0.001    0.000 {method 'popleft' of 'collections.deque' objects}
