End of video
         741406 function calls (738711 primitive calls) in 49.104 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       21    0.039    0.002    0.041    0.002 {built-in method _imp.create_dynamic}
     2487    0.037    0.000    0.612    0.000 Robot.py:102(moveTo)
     8419    0.035    0.000    0.194    0.000 numeric.py:159(ones)
     2487    0.035    0.000    0.113    0.000 MainArm.py:43(follow)
     4974    0.025    0.000    0.025    0.000 Point.py:98(update)
     8419    0.024    0.000    0.109    0.000 <__array_function__ internals>:2(copyto)
    12328    0.021    0.000    0.031    0.000 Point.py:26(__mul__)
     2487    0.021    0.000    0.025    0.000 MainTrack.py:35(follow)
     2806    0.021    0.000    0.052    0.000 queue.py:153(get)
      317    0.020    0.000    0.020    0.000 {built-in method builtins.compile}
     2487    0.019    0.000    0.663    0.000 Robot.py:139(update)
     5613    0.019    0.000    0.027    0.000 queue.py:91(qsize)
     2488    0.018    0.000    0.079    0.000 MainArm.py:30(getOtherPt)
      140    0.018    0.000    0.018    0.000 {built-in method marshal.loads}
     2806    0.017    0.000    3.120    0.001 image_sizing.py:34(scale)
47317/47099    0.016    0.000    0.016    0.000 {built-in method builtins.len}
     4974    0.014    0.000    0.040    0.000 Point.py:40(norm)
     4975    0.014    0.000    0.060    0.000 SecondaryArm.py:30(refresh)
     2488    0.013    0.000    0.032    0.000 SecondaryArm.py:35(getotherPt1)
     4974    0.013    0.000    0.013    0.000 Carriage.py:25(refresh)
     2807    0.012    0.000    0.018    0.000 threading.py:341(notify)
     2488    0.012    0.000    0.028    0.000 SecondaryArm.py:37(getotherPt2)
     4974    0.012    0.000    0.012    0.000 Carriage.py:48(follow)
      142    0.011    0.000    0.011    0.000 {built-in method io.open_code}
     2487    0.009    0.000    0.093    0.000 SecondaryArm.py:77(moveBase)
      142    0.009    0.000    0.009    0.000 {method 'read' of '_io.BufferedReader' objects}
     4975    0.009    0.000    0.042    0.000 MainArm.py:27(refresh)
     9983    0.008    0.000    0.008    0.000 {built-in method math.atan}
     4974    0.007    0.000    0.021    0.000 Carriage.py:55(moveBase)
    16838    0.007    0.000    0.007    0.000 {built-in method time.time}
     8419    0.006    0.000    0.010    0.000 queue.py:208(_qsize)
     2487    0.006    0.000    0.105    0.000 MainArm.py:68(moveBase)
      135    0.006    0.000    0.014    0.000 meat.py:52(gen_significant_lines)
     2807    0.006    0.000    0.022    0.000 VideoReader.py:42(more)
     2487    0.005    0.000    0.011    0.000 MainTrack.py:50(moveBase)
     2488    0.005    0.000    0.006    0.000 MainTrack.py:22(getOtherPt)
  298/294    0.005    0.000    0.010    0.000 {built-in method builtins.__build_class__}
     2535    0.004    0.000    0.007    0.000 Point.py:22(__add__)
     2767    0.004    0.000    0.004    0.000 bbox.py:97(<listcomp>)
      142    0.004    0.000    0.025    0.000 <frozen importlib._bootstrap_external>:969(get_data)
     7466    0.004    0.000    0.004    0.000 {built-in method math.cos}
     8419    0.004    0.000    0.004    0.000 multiarray.py:1043(copyto)
     7466    0.004    0.000    0.004    0.000 {built-in method math.sin}
     2808    0.004    0.000    0.006    0.000 threading.py:261(_is_owned)
     2806    0.004    0.000    0.056    0.000 VideoReader.py:39(read)
    21/16    0.004    0.000    0.016    0.001 {built-in method _imp.exec_dynamic}
      141    0.003    0.000    0.063    0.000 <frozen importlib._bootstrap_external>:849(get_code)
    14932    0.003    0.000    0.003    0.000 {built-in method math.radians}
     2806    0.003    0.000    0.005    0.000 queue.py:216(_get)
      298    0.003    0.000    0.042    0.000 <frozen importlib._bootstrap_external>:1431(find_spec)
     2808    0.003    0.000    0.004    0.000 threading.py:246(__enter__)
    184/1    0.003    0.000   49.105   49.105 <frozen importlib._bootstrap>:986(_find_and_load)
     9983    0.003    0.000    0.003    0.000 {built-in method math.degrees}
   116/40    0.003    0.000    0.007    0.000 sre_parse.py:493(_parse)
     4168    0.002    0.000    0.002    0.000 {built-in method builtins.getattr}
      214    0.002    0.000    0.002    0.000 Point.py:81(moveTo)
     2812    0.002    0.000    0.002    0.000 {method 'acquire' of '_thread.lock' objects}
     2808    0.002    0.000    0.003    0.000 threading.py:249(__exit__)
       27    0.002    0.000    0.016    0.001 meat.py:12(__init__)
       18    0.002    0.000    0.002    0.000 {built-in method nt.listdir}
      612    0.002    0.000    0.002    0.000 _inspect.py:67(getargs)
      741    0.002    0.000    0.002    0.000 {built-in method builtins.min}
     1430    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:62(_path_join)
     1430    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:64(<listcomp>)
      180    0.001    0.000    0.049    0.000 <frozen importlib._bootstrap>:890(_find_spec)
    465/1    0.001    0.000   49.099   49.099 {built-in method builtins.exec}
       18    0.001    0.000    0.414    0.023 __init__.py:1(<module>)
      320    0.001    0.000    0.001    0.000 {built-in method builtins.max}
      328    0.001    0.000    0.002    0.000 functools.py:33(update_wrapper)
     7081    0.001    0.000    0.001    0.000 {built-in method builtins.isinstance}
     2806    0.001    0.000    0.001    0.000 {method 'popleft' of 'collections.deque' objects}
       24    0.001    0.000    0.004    0.000 Robot.py:117(followPath)
        1    0.001    0.001    0.001    0.001 {built-in method nt.replace}
      282    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:294(cache_from_source)
      286    0.001    0.000    0.005    0.000 overrides.py:72(verify_matching_signatures)
