Average frame time: 0.015815230921516227
         1141685 function calls (1127177 primitive calls) in 46.524 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1423    0.003    0.000    0.003    0.000 <frozen importlib._bootstrap>:78(acquire)
  849/848    0.003    0.000    0.159    0.000 <frozen importlib._bootstrap_external>:1240(_get_spec)
     2418    0.003    0.000    0.003    0.000 threading.py:249(_release_save)
     2418    0.003    0.000    0.004    0.000 threading.py:252(_acquire_restore)
     2806    0.003    0.000    0.004    0.000 queue.py:216(_get)
      100    0.003    0.000    0.084    0.001 _distn_infrastructure.py:1572(__init__)
     6434    0.003    0.000    0.003    0.000 sre_parse.py:233(__next)
     2190    0.003    0.000    0.045    0.000 re.py:271(_compile)
    10762    0.003    0.000    0.004    0.000 mathtext.py:2823(<genexpr>)
     2821    0.003    0.000    0.004    0.000 threading.py:243(__exit__)
  3042/63    0.002    0.000    0.993    0.016 <frozen importlib._bootstrap>:1009(_handle_fromlist)
     1423    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:103(release)
      934    0.002    0.000    0.002    0.000 {method 'search' of 're.Pattern' objects}
      687    0.002    0.000    0.087    0.000 <frozen importlib._bootstrap_external>:523(_compile_bytecode)
 1199/399    0.002    0.000    0.003    0.000 sre_parse.py:174(getwidth)
     6706    0.002    0.000    0.003    0.000 sre_parse.py:164(__getitem__)
     3582    0.002    0.000    0.002    0.000 {method 'format' of 'str' objects}
      851    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap>:318(__exit__)
     6527    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
       30    0.002    0.000    0.002    0.000 {built-in method io.open}
    688/1    0.002    0.000   46.524   46.524 <frozen importlib._bootstrap_external>:722(exec_module)
      830    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:574(spec_from_file_location)
        4    0.002    0.001    0.003    0.001 codata.py:1500(parse_constants_2002to2014)
       27    0.002    0.000    0.005    0.000 meat.py:46(gen_significant_lines)
       12    0.002    0.000    0.026    0.002 artist.py:1314(_get_setters_and_targets)
     3576    0.002    0.000    0.005    0.000 enum.py:284(__call__)
      371    0.002    0.000    0.005    0.000 colors.py:193(_to_rgba_no_colorcycle)
     2325    0.002    0.000    0.040    0.000 inspect.py:594(getdoc)
